state,era,use_group,properties,avg_sqft,median_value
SD,unknown,Commercial,51241,9689,15384
SD,pre-1960,Commercial,10809,4981,33775
SD,1980-99,Commercial,9509,9829,62399
SD,1960-79,Commercial,8405,8251,68235
SD,2000-09,Commercial,5056,84676,113975
SD,2010+,Commercial,3871,10761,274861
SD,1980-99,INDUSTRIAL,1656,13279,
SD,2010+,INDUSTRIAL,1253,11683,
SD,unknown,INDUSTRIAL,1215,15706,
SD,1960-79,INDUSTRIAL,1127,14044,
SD,2000-09,INDUSTRIAL,917,14562,
SD,pre-1960,INDUSTRIAL,713,11303,
TN,1980-99,Commercial,84738,11268,395647
TN,unknown,Commercial,73867,9437,69661
TN,pre-1960,Commercial,72184,5594,139607
TN,1960-79,Commercial,66314,9479,255884
TN,2000-09,Commercial,45488,12179,551632
TN,2010+,Commercial,28324,15561,969971
TN,1980-99,INDUSTRIAL,17635,39453,597716
TN,1960-79,INDUSTRIAL,15088,37001,489608
TN,pre-1960,INDUSTRIAL,10437,24149,184711
TN,2000-09,INDUSTRIAL,7619,41825,587236
TN,2010+,INDUSTRIAL,4445,79194,1066335
TN,unknown,INDUSTRIAL,2684,68011,129778
TX,unknown,Commercial,1078353,18912,7531
TX,1980-99,Commercial,384967,14334,418546
TX,1960-79,Commercial,277386,10597,287362
TX,2000-09,Commercial,248758,14727,672839
TX,2010+,Commercial,242968,16369,878012
TX,pre-1960,Commercial,237034,5656,176528
TX,unknown,INDUSTRIAL,95196,42781,3604
TX,1980-99,INDUSTRIAL,77724,25035,735714
TX,1960-79,INDUSTRIAL,69493,21346,589415
TX,2010+,INDUSTRIAL,42981,43548,1054934
TX,2000-09,INDUSTRIAL,40544,29690,923256
TX,pre-1960,INDUSTRIAL,25812,17346,293423
UT,unknown,Commercial,46906,10924,163276
UT,1980-99,Commercial,33437,10933,537780
UT,2000-09,Commercial,20407,21061,857741
UT,pre-1960,Commercial,18562,5493,477012
UT,2010+,Commercial,16686,17421,1344228
UT,1960-79,Commercial,15751,9981,635362
UT,unknown,INDUSTRIAL,10545,96159,256339
